Input,Output
"Входной (выходной) или маневровый светофор не срабатывает. При нажатии кнопки сигнала стрелка нужного цвета и направления появляется на табло. Верно установлен маршрут. Учет охранного положения стрелок (при наличии в таблице зависимостей) произведен. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок поддерживается. Белая полоса проходит по маршруту на таблице.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. Как только нажимаешь на кнопку этого сигнала, стрелка загорается на табло нужного цвета и направления. Маршрут установлен правильно. Охранное положение стрелок (если они есть в таблице зависимостей) учтено. В маршруте нет ложной занятости рельсовых цепей и контроль положения стрелок не потерян. Белая полоса изображается на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
Не удаётся запустить входной (выходной) или маневровый светофор. При нажатии кнопки сигнала на табло появляется стрелка нужного цвета и направления. Правильная установка маршрута обеспечена. Учитывается охранное положение стрелок (если они есть в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей и контроль положения стрелок не теряется. На маршруте видна белая полоса на табло.,"Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый не открывается. Когда вы нажимаете на кнопку сигнала, стрелка нужного цвета и направления появляется на табло. Маршрут установлен правильно. Охранное положение стрелок учтено при наличии в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей и контроль над положением стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. Стрелка желаемого цвета и направления появляется на табло после нажатия кнопки данного сигнала. Установленный маршрут является корректным. Охранное положение стрелок учтено (если они присутствуют в таблице зависимостей). В маршруте не наблюдается ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) либо маневровый светофор не открывается. По нажатию на кнопку этого сигнала, стрелка нужного цвета и направления загорается на табло. Маршрут установлен корректно. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, и контроль над положением стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. При нажатии кнопки данного сигнала загорается стрелка нужного цвета и направления на табло. Установленный маршрут является правильным. Охранное положение стрелок учтено (если они указаны в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не нарушен. Белая полоса проходит на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"На входном (выходном) или маневровом светофоре не происходит открытие. При активации кнопки сигнала стрелка нужного цвета и направления появляется на табло. Верно установлен маршрут. Охранное положение стрелок, если они присутствуют в таблице зависимостей, учтено. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок не теряется. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается ни входной, ни выходной, ни маневровый светофор. При нажатии кнопки данного сигнала на табло появляется стрелка нужного цвета и направления. Установленный маршрут является правильным. Учитывается охранное положение стрелок (если они есть в таблице зависимостей). В маршруте не наблюдается ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) либо маневровый светофор не открывается. При нажатии кнопки сигнала стрелка нужного цвета и направления загорается на табло. Маршрут установлен правильно. Охранное положение стрелок учтено (при наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не нарушен. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый светофор не открывается. При нажатии кнопки данного сигнала на табло появляется стрелка нужного цвета и направления. Установленный маршрут — правильный. Охранное положение стрелок учтено, если они указаны в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок не нарушен. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. Когда нажимается кнопка данного сигнала, стрелка нужного цвета и направления загорается на табло. Маршрут установлен корректно. Охранное положение стрелок учтено (при наличии в таблице зависимостей). Ложной занятости рельсовых цепей в маршруте не наблюдается, и контроль над положением стрелок сохраняется. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается запустить входной (выходной) или маневровый светофор. При нажатии кнопки сигнала на табло загорается стрелка нужного цвета и направления. Маршрут корректно установлен. Учитывается охранное положение стрелок, если они присутствуют в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок не утрачивается. На маршруте представляет собой белую полосу на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок, если они присутствуют в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок сохраняется. На достаточно проходит белая полоса на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. При нажатии кнопки сигнала стрелка необходимого цвета и направления появляется на табло. Установленный маршрут правильный. Охранное положение стрелок учтено (при наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не теряется. На маршруте имеется белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При активации кнопки сигнала загорается стрелка нужного цвета и направления. Правильный маршрут установлен. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок поддерживается. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый светофор не открывается. Стрелка нужного цвета и направления загорается на табло при нажатии на кнопку данного сигнала. Установленный маршрут является корректным. Учитывается охранное положение стрелок (если представлено в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки сигнала загорается стрелка нужного цвета и направления на табло. Маршрут установлен правильно. Охранное положение стрелок учтено, когда они имеются в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль над положением стрелок не нарушен. На маршруте белая полоса проходит по табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не срабатывает. При нажатии кнопки сигнала стрелка нужного цвета и направления отображается на табло. Установленный маршрут верный. Учет охранного положения стрелок (при наличии в таблице зависимостей) выполнен. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль над стрелками не теряется. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут правильный. Учитывается охранное положение стрелок, если они присутствуют в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, и контроль над положением стрелок сохраняется. На маршруте видна белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. При нажатии кнопки сигнала стрелка необходимого цвета и направления появляется на табло. Установленный маршрут является верным. Охранное положение стрелок учитывается (при наличии в таблице зависимостей). В маршруте не наблюдается ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. На табло загорается стрелка указанного цвета и направления, когда нажимается кнопка данного сигнала. Установленный маршрут корректен. Учитывается охранное положение стрелок (если они есть в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль над положением стрелок сохраняется. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появится на табло. Установленный маршрут обозначен верно. Учитывается охранное положение стрелок, если это указано в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не потерян. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. Когда вы нажимаете кнопку данного сигнала, стрелка нужного цвета и направления загорается на табло. Верный маршрут установлен. Учитывается охранное положение стрелок по таблице зависимостей, если они там указаны. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок поддерживается. Белая полоса видна на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый светофор остается закрытым. Нажимая на кнопку сигнала, стрелка нужного цвета и направления загорается на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок (если они присутствуют в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, а контроль над стрелками сохраняется. Проходит белая полоса на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки сигнала загорается стрелка требуемого цвета и направления на табло. Установленный маршрут корректен. Учитывается охранное положение стрелок (если они присутствуют в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль над положением стрелок не нарушен. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. Стрелка нужного цвета и направления отображается на табло при нажатии на кнопку сигнала. Установленный маршрут правильный. Охранное положение стрелок учитывается (если они есть в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль над положением стрелок держится в норме. Проходить белая полоса на там притягивается на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. По нажатию кнопки сигнала на табло появляется стрелка нужного цвета и направления. Маршрут установлен правильно. Учитывается охранное положение стрелок, если они представлены в таблице зависимостей. В маршруте отсутствуют ложные занятости рельсовых цепей, а контроль положения стрелок не потерян. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок, если они указаны в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый не открывается. Стрелка нужного цвета и направления отображается на табло при нажатии кнопки сигнала. Установленный маршрут установлен правильно. Охранное положение стрелок учитывается (при наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок сохраняется. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки сигнала стрелка нужного цвета и направления загорается на табло. Указанный маршрут является корректным. Учитывается охранное положение стрелок (если представлены в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок не потерян. Белая полоса идет по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый не открывается. Стрелка нужного цвета и направления появляется на табло после нажатия кнопки данного сигнала. Установленный маршрут корректно определен. Охранное положение стрелок учтено (при наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок сохраняется. На табло проходит белая полоса по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки этого сигнала стрелка нужного цвета и направления загорается на табло. Маршрут установлен корректно. Учитывается охранное положение стрелок, если таковые имеются в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, контроль положения стрелок не потерян. На табло по маршруту не проходит белая полоса.",Не срабатывает схема контрольно-секционных реле. Используя принципиальные схемы найти место разрыва цепи контрольно-секционных реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие поездные или маневровые маршруты.
"Не срабатывает входной (выходной) или маневровый светофор. Стрелка здесь загорается нужного цвета и направления на табло, когда нажимается кнопка сигнала. Верно установлен маршрут. Охранное положение стрелок учтено (при наличии в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей и потеря контроля положений стрелок. Белая полоса на маршруте не проходит через табло.",Не срабатывает схема контрольно-секционных реле. Используя принципиальные схемы найти место разрыва цепи контрольно-секционных реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие поездные или маневровые маршруты.
"Входной (выходной) или маневровый светофор не функционирует. При активации кнопки сигнала на табло загорается стрелка соответствующего цвета и направления. Установленный маршрут корректен. Охранное положение стрелок принимается во внимание, если они указаны в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей и отсутствует потеря контроля положения стрелок. На табло белая полоса по маршруту не проходит.",Не срабатывает схема контрольно-секционных реле. Используя принципиальные схемы найти место разрыва цепи контрольно-секционных реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие поездные или маневровые маршруты.
"Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки сигнала нужная стрелка загорается на табло соответствующего цвета и направления. Маршрут установлен верно. Охранное положение стрелок учтено, если они есть в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, не наблюдается потеря контроля положений стрелок. Белая полоса на табло по маршруту не проходит.",Не срабатывает схема контрольно-секционных реле. Используя принципиальные схемы найти место разрыва цепи контрольно-секционных реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие поездные или маневровые маршруты.
